gvkey,fyear,datadate,conm,fic,cik,ein
237957,2000,20001231,SONAE.COM SGPS SA,PRT,NA,
237976,1997,19971231,STOCKCUBE PLC,GBR,NA,
237977,2000,20010331,STREETNAMES PLC,GBR,NA,
237978,2000,20001231,SWISSQUOTE GROUP HOLDING LTD,CHE,NA,
237979,1999,19991231,TAS TECNOLOGIA AVANZATA,ITA,NA,
237980,1999,19991231,TELECITY,GBR,NA,
237981,1999,20000131,EBIQUITY PLC,GBR,NA,
237982,2000,20001231,UPDATE SOFTWARE AG,AUT,NA,
237983,2001,20020331,PAN AFRICAN RESOURCES PLC,GBR,NA,
237996,1996,19970430,SHANGHAI INDUSTRIAL URBAN DE,BMU,NA,
238016,1995,19950831,ALPHA CO LTD,JPN,NA,
238017,1995,19951231,CIS CORP,JPN,NA,
238036,1995,19960229,CREEK & RIVER CO LTD,JPN,NA,
238056,1996,19970131,SAMURAI&J PARTNERS CO LTD,JPN,NA,
238057,1994,19950531,EIGHT CONSULTANTS CO LTD,JPN,NA,
238058,1995,19951031,HAGIHARA INDUSTRIES INC,JPN,NA,
238059,1995,19950930,HONGO CO LTD,JPN,NA,
238076,1995,19950930,PLANT CO LTD,JPN,NA,
238077,1994,19950331,MIYAKO INC,JPN,NA,
238078,1994,19941231,ONTSU CO LTD,JPN,NA,
238079,1995,19960331,PATLITE CORP,JPN,NA,
238080,1997,19980331,SAKURA KCS CORP,JPN,NA,
238081,1998,19981031,SKYMARK AIRLINES CO LTD,JPN,NA,
238082,1995,19960229,SUGI HOLDINGS CO LTD,JPN,NA,
238083,1995,19950930,CENTRAL FOREST GROUP INC,JPN,NA,
238084,1995,19960331,XNET CORP,JPN,NA,
238116,1999,19991231,SCANDINAVIA ONLINE AB,SWE,NA,
238117,1998,19981231,DIGIA PLC,FIN,NA,
238118,1997,19971231,WISA-WIEST SA,BRA,NA,
238136,1998,19981231,BECHTLE AG,DEU,NA,
238137,1999,19990930,ISRA VISION AG,DEU,NA,
238139,1998,19981231,VALOR COMPUTERISED SYSTEMS,ISR,NA,
238156,1999,19991231,DADA SPA,ITA,NA,
238158,2001,20020331,AJANTA PHARMA LTD,IND,NA,
238161,2001,20020331,ASIAN STAR CO LTD,IND,NA,
238162,1998,19990331,AUROBINDO PHARMA LTD,IND,NA,
238163,1999,19991231,AU-SYSTEM AB,SWE,NA,
238166,2000,20001231,BUSINESS INTERACTIF,FRA,NA,
238167,1998,19990331,CADILA HEALTHCARE LTD,IND,NA,
238168,2000,20010331,CENTUM ELECTRONICS LTD,IND,NA,
238169,1999,19991231,CYBERDECK,FRA,NA,
238171,1998,19981231,ELEXIS AG,DEU,NA,
238173,2001,20020331,FDC LTD,IND,NA,
238174,1999,19991231,FEEDBACK AG,DEU,NA,
238175,2001,20010630,GOLDSTONE TECHNOLOGIES LTD,IND,NA,
238176,1999,19990630,HINDUJA VENTURES LTD,IND,NA,
238177,2001,20020331,MICRO INKS LTD,IND,NA,
238178,1997,19980331,CYIENT LIMITED,IND,NA,
238179,1996,19970331,JAGSONPAL PHARMACEUTICALS,IND,NA,
238180,1999,19990930,ORCHESTRA-PREMAMAN,FRA,NA,
238181,1996,19961231,ADC INDIA COMMUNICATIONS LTD,IND,NA,
238182,1998,19980630,MADRAS ALUMINIUM CO LTD,IND,NA,
238183,2000,20001231,MICROLOG LOGISTICS AG,DEU,NA,
238184,1997,19980331,MIH HOLDINGS LTD,ZAF,NA,
238185,1999,19991231,ORCHESTREAM HOLDINGS PLC,GBR,1022220,
238187,2001,20020331,PUNJAB COMMUNICATIONS LTD,IND,NA,
238190,1999,19990930,SHREE RAMA MULTI-TECH LTD,IND,NA,
238193,2001,20011231,KENNAMETAL WIDIA(INDIA) LTD,IND,NA,
238196,2003,20031231,MARINETRACK HOLDINGS PLC,GBR,NA,
238197,1999,20000430,GLOBALDATA PLC,GBR,NA,
238240,1999,19991231,COSE BELLE DITALIA SPA,ITA,NA,
238243,1999,19991231,MEDIGENE AG,DEU,NA,
238244,1997,19970930,NRJ GROUP,FRA,NA,
238245,1998,19981231,REALTEK SEMICONDUCTOR CORP,TWN,NA,
238246,1999,19991231,TREDI ENVIRONMENT,FRA,NA,
238276,1997,19971231,POLITENO INDUSTRIA COMERCIO,BRA,NA,
238417,2000,20001231,GREENCOOL TECHNOLOGY HLDGS,CYM,NA,
238436,1999,19991231,ABEL GUILLEMOT,FRA,NA,
238438,1997,19971231,ADVANCED VISION TECH LTD,ISR,NA,
238439,1999,19991231,ALLGEIER SE,DEU,NA,
238440,1999,19991231,ALPHAFORM AG,DEU,NA,
238441,1999,19990930,ANALYTIK JENA AG,DEU,NA,
238442,1999,19990930,CARL ZEISS MEDITEC AG,DEU,NA,
238444,2000,20001231,BAC MAJESTIC SA,FRA,NA,
238445,1999,19991231,BCI NAVIGATION,FRA,NA,
238446,1999,19991231,ADESSO AG,DEU,NA,
238448,1999,19991231,DALET SA,FRA,NA,
238449,1999,19991231,ACTEOS,FRA,NA,
238450,1998,19981231,GROUPE SFPI SA,FRA,NA,
238451,1999,19991231,ENERGIEKONTOR AG,DEU,NA,
238452,1999,20000131,ESI GROUP SA,FRA,NA,
238453,1999,19991231,GAUDRIOT SA,FRA,NA,
238454,1999,19991231,GIRINDUS AG,DEU,NA,
238455,1999,19991231,AGENNIX AG,DEU,1117629,
238456,1999,19991231,GRENKE AG,DEU,NA,
238457,1999,20000331,HIGHWAVE OPTICAL TECH,FRA,NA,
238458,1999,19991231,IBS AG ENGR CONSLTG SOFTWARE,DEU,NA,
238459,1999,19990930,IN-MOTION AG,DEU,NA,
238460,1998,19981231,IPC ARCHTEC AG,DEU,NA,
238461,1999,19991231,IVU TRAFFIC TECHNOLOGIES AG,DEU,NA,
238462,1999,19991231,KONTRON AG,DEU,NA,
238463,1999,19990630,MEDIA AG,DEU,NA,
238464,1999,20000331,MEDIA NETCOM AG,DEU,NA,
238465,1999,19991231,MONDO TV SPA,ITA,NA,
238466,1999,19991231,NET2S SA,FRA,NA,
238468,1999,19991231,NOVEMBER AG,DEU,NA,
238476,1999,19991231,RIBER,FRA,NA,
238477,1999,19991231,RUECKER AG,DEU,NA,
238478,1999,19991231,SOFT COMPUTING,FRA,NA,
238479,1999,19991231,SOFTING AG,DEU,NA,
238480,1998,19980630,SYNELEC SA,FRA,NA,
238481,2000,20001231,TELE ATLAS NV,NLD,NA,
